District Code,District Name,Elementary,Middle School,High School
02070,Munising Public Schools,Yes,Yes,Yes
61010,Muskegon City School District,No,Yes,No
52015,N.I.C.E. Community Schools,Yes,No,Yes
38130,Napoleon Community Schools,Yes,Yes,Yes
52090,Negaunee Public Schools,Yes,Yes,Yes
11200,New Buffalo Area Schools,Yes,Yes,Yes
50170,New Haven Community Schools,No,Yes,No
78070,New Lothrop Area Public Schools,Yes,Yes,Yes
62070,Newaygo Public School District,Yes,Yes,Yes
11300,Niles Community School District,Yes,Yes,No
30050,North Adams-Jerome Schools,No,No,Yes
44090,North Branch Area Schools,Yes,Yes,Yes
55115,North Central Area Schools,Yes,Yes,No
32080,North Huron School District,Yes,Yes,Yes
61230,North Muskegon Public Schools,Yes,Yes,Yes
41025,Northview Public School District,Yes,Yes,Yes
82390,Northville Public Schools,Yes,Yes,Yes
38140,Northwest Community Schools,Yes,Yes,No
22025,Norway-Vulcan Area Schools,Yes,Yes,Yes
63100,Novi Community School District,Yes,Yes,Yes
63250,Oak Park City School District,Yes,No,Yes
63912,Oakland International Academy,Yes,Yes,No
61065,Oakridge Public Schools,Yes,Yes,Yes
33170,Okemos Public Schools,No,Yes,Yes
82956,Old Redford Academy,Yes,Yes,Yes
23080,Olivet Community Schools,Yes,Yes,Yes
71050,Onaway Area Community School District,Yes,Yes,Yes
51060,Onekama Consolidated Schools,Yes,Yes,Yes
46110,Onsted Community Schools,Yes,Yes,Yes
66050,Ontonagon Area Schools,Yes,Yes,Yes
61190,Orchard View Schools,Yes,Yes,No
35010,Oscoda Area Schools,No,Yes,Yes
03020,Otsego Public Schools,Yes,Yes,Yes
70000,Ottawa Area ISD,Yes,No,No
03902,Outlook Academy,-,-,-
19120,Ovid-Elsie Area Schools,Yes,Yes,No
32090,Owendale-Gagetown Area Schools,Yes,Yes,Yes
78110,Owosso Public Schools,Yes,Yes,No
63110,Oxford Community Schools,Yes,Yes,No
39130,Parchment School District,Yes,Yes,No
80160,Paw Paw Public School District,Yes,Yes,No
76180,Peck Community School District,Yes,Yes,Yes
24040,Pellston Public Schools,Yes,Yes,Yes
13120,Pennfield Schools,Yes,Yes,Yes
78080,Perry Public School District,Yes,Yes,Yes
19125,Pewamo-Westphalia Community Schools,Yes,Yes,Yes
17090,Pickford Public Schools,Yes,Yes,No
47080,Pinckney Community Schools,Yes,Yes,Yes
09090,Pinconning Area Schools,Yes,Yes,Yes
67055,Pine River Area Schools,Yes,Yes,Yes
30060,Pittsford Area Schools,Yes,Yes,Yes
03010,Plainwell Community Schools,Yes,Yes,Yes
82100,Plymouth-Canton Community Schools,No,Yes,Yes
63906,Pontiac Academy for Excellence,No,Yes,Yes
63030,Pontiac City School District,No,Yes,No
74010,Port Huron Area School District,Yes,Yes,No
39140,Portage Public Schools,Yes,Yes,Yes
34110,Portland Public School District,Yes,Yes,Yes
71060,Posen Consolidated School District,Yes,Yes,Yes
23090,Potterville Public Schools,No,No,Yes
31030,Public Schools of Calumet,Yes,Yes,Yes
24070,Public Schools of Petoskey,Yes,Yes,Yes
12040,Quincy Community School District,Yes,Yes,Yes
61210,Ravenna Public Schools,Yes,Yes,Yes
30070,Reading Community Schools,Yes,Yes,Yes
82110,Redford Union School District,Yes,Yes,No
67060,Reed City Area Public Schools,Yes,Yes,Yes
79110,Reese Public Schools,Yes,Yes,Yes
61220,Reeths-Puffer Schools,Yes,Yes,Yes
50180,Richmond Community Schools,Yes,Yes,Yes
11033,River Valley School District,Yes,Yes,Yes
82975,Riverside Academy,Yes,Yes,Yes
82400,Riverview Community School District,Yes,Yes,Yes
63260,Rochester Community School District,Yes,Yes,No
41210,Rockford Public Schools,Yes,Yes,Yes
71080,Rogers City Area Schools,Yes,Yes,Yes
50190,Romeo Community Schools,Yes,Yes,Yes
82130,Romulus Community Schools,Yes,Yes,No
72010,Roscommon Area Public Schools,Yes,No,Yes
50030,Roseville Community Schools,Yes,Yes,Yes
82948,Ross Hill Academy,Yes,No,Yes
17110,Rudyard Area Schools,Yes,Yes,Yes
73010,Saginaw City School District,Yes,Yes,No
73040,Saginaw Township Community Schools,Yes,Yes,No
81120,Saline Area Schools,Yes,Yes,No
46130,Sand Creek Community Schools,Yes,Yes,Yes
76210,Sandusky Community School District,Yes,Yes,Yes
34120,Saranac Community Schools,Yes,Yes,Yes
03080,Saugatuck Public Schools,Yes,Yes,Yes
17010,Sault Ste. Marie Area Schools,Yes,Yes,Yes
82080,School District of the City of Inkster,Yes,No,No
63040,School District of the City of Royal Oak,Yes,Yes,Yes
81020,School District of Ypsilanti,Yes,Yes,No
39160,Schoolcraft Community Schools,Yes,Yes,Yes
64080,Shelby Public Schools,Yes,No,No
37060,Shepherd Public School District,Yes,Yes,Yes
80010,South Haven Public Schools,Yes,Yes,Yes
50200,South Lake Schools,Yes,Yes,Yes
63240,South Lyon Community Schools,Yes,Yes,Yes
82140,South Redford School District,Yes,Yes,Yes
63060,Southfield Public School District,Yes,Yes,Yes
82405,Southgate Community School District,Yes,Yes,No
41240,Sparta Area Schools,Yes,Yes,Yes
70300,Spring Lake Public Schools,Yes,No,Yes
38150,Springport Public Schools,Yes,Yes,Yes
73240,St. Charles Community Schools,Yes,Yes,Yes
49010,St. Ignace Area Schools,Yes,Yes,Yes
19140,St. Johns Public Schools,Yes,Yes,Yes
11020,St. Joseph Public Schools,Yes,Yes,Yes
29100,St. Louis Public Schools,Yes,Yes,No
06050,Standish-Sterling Community Schools,Yes,Yes,Yes
55120,Stephenson Area Public Schools,Yes,Yes,Yes
33200,Stockbridge Community Schools,Yes,Yes,Yes
75010,Sturgis Public Schools,Yes,Yes,No
58100,Summerfield School District,Yes,Yes,Yes
82938,Summit Academy North,Yes,Yes,Yes
45050,Suttons Bay Public Schools,Yes,Yes,Yes
73255,Swan Valley School District,Yes,Yes,Yes
25180,Swartz Creek Community Schools,Yes,Yes,Yes
48040,Tahquamenon Area Schools,Yes,Yes,No
35030,Tawas Area Schools,Yes,Yes,Yes
82150,Taylor School District,Yes,Yes,Yes
46140,Tecumseh Public Schools,Yes,Yes,Yes
13130,Tekonsha Community Schools,Yes,Yes,Yes
82908,Thomas-Gist Academy,Yes,Yes,-
08050,Thornapple Kellogg School District,Yes,Yes,Yes
75080,Three Rivers Community Schools,Yes,Yes,No
28010,Traverse City Area Public Schools,Yes,Yes,Yes
82155,Trenton Public Schools,Yes,Yes,Yes
59080,Tri County Area Schools,Yes,Yes,No
63150,Troy School District,No,Yes,Yes
32170,Ubly Community Schools,Yes,Yes,Yes
13135,Union City Community Schools,Yes,Yes,Yes
79145,Unionville-Sebewaing Area S.D.,Yes,Yes,Yes
82702,University Preparatory Academy (PSAD),Yes,Yes,Yes
50210,Utica Community Schools,Yes,Yes,No
82430,Van Buren Public Schools,Yes,Yes,No
50220,Van Dyke Public Schools,Yes,No,No
38020,Vandercook Lake Public Schools,Yes,Yes,Yes
79150,Vassar Public Schools,Yes,Yes,Yes
59150,Vestaburg Community Schools,Yes,Yes,Yes
39170,Vicksburg Community Schools,Yes,Yes,Yes
82940,Voyageur Academy,Yes,Yes,Yes
30080,Waldron Area Schools,Yes,Yes,Yes
64090,Walkerville Public Schools,Yes,Yes,Yes
63290,Walled Lake Consolidated Schools,Yes,Yes,Yes
50230,Warren Consolidated Schools,Yes,Yes,Yes
50240,Warren Woods Public Schools,Yes,Yes,Yes
81000,Washtenaw ISD,Yes,No,No
63300,Waterford School District,Yes,Yes,No
11320,Watervliet School District,Yes,Yes,Yes
33215,Waverly Community Schools,Yes,Yes,No
03040,Wayland Union Schools,Yes,Yes,Yes
82160,Wayne-Westland Community School District,Yes,Yes,No
33220,Webberville Community Schools,Yes,Yes,Yes
63160,West Bloomfield School District,Yes,Yes,Yes
65045,West Branch-Rose City Area Schools,Yes,Yes,Yes
36025,West Iron County Public Schools,Yes,Yes,Yes
70070,West Ottawa Public School District,Yes,Yes,Yes
38010,Western School District,Yes,Yes,Yes
82240,Westwood Community Schools,Yes,No,No
25210,Westwood Heights Schools,Yes,No,Yes
62090,White Cloud Public Schools,No,No,Yes
75070,White Pigeon Community Schools,Yes,Yes,Yes
58110,Whiteford Agricultural Schools,Yes,Yes,Yes
61240,Whitehall District Schools,Yes,Yes,No
81140,Whitmore Lake Public Schools,Yes,Yes,Yes
35040,Whittemore-Prescott Area Schools,No,Yes,No
33230,Williamston Community Schools,Yes,Yes,Yes
81150,Willow Run Community Schools,Yes,No,No
16100,Wolverine Community Schools,Yes,Yes,Yes
82365,Woodhaven-Brownstown School District,Yes,Yes,Yes
82170,Wyandotte City School District,No,Yes,No
41026,Wyoming Public Schools,Yes,Yes,No
74130,Yale Public Schools,Yes,Yes,Yes
70350,Zeeland Public Schools,Yes,Yes,Yes
