ISDcode,ISD,dcode,District,bcode,School ,AYP,AYP Phase,Building Type
50,Macomb ISD,50090,Fitzgerald Public Schools,08903,Neigebaur Alternative Education Center,No,Identified for Restructuring - Planning,Alternative School
50,Macomb ISD,50120,Lake Shore Public Schools (Macomb),07687,North Lake High School,No,Corrective Action,Alternative School
50,Macomb ISD,50130,Lakeview Public Schools (Macomb),02105,Lakeview High School,No,Identified for Improvement - Year Two,High School
50,Macomb ISD,50140,L'Anse Creuse Public Schools,02124,L'Anse Creuse High School,No,Identified for Improvement - Year One,High School
50,Macomb ISD,50140,L'Anse Creuse Public Schools,06487,L'Anse Creuse High School - North,No,Identified for Improvement - Year Two,High School
50,Macomb ISD,50160,Mt. Clemens Community School District,02624,Mount Clemens High School,Yes,Identified for Improvement - Year Two,High School
50,Macomb ISD,50170,New Haven Community Schools,02683,New Haven High School,No,Identified for Restructuring - Implementation,High School
50,Macomb ISD,50220,Van Dyke Public Schools,02201,Lincoln High School,No,Identified for Restructuring - Implementation,High School
50,Macomb ISD,50220,Van Dyke Public Schools,08595,Thompson Community Center,No,Identified for Restructuring - Implementation,Middle/High School
50,Macomb ISD,50230,Warren Consolidated Schools,00645,Warren Mott High School,No,Identified for Restructuring - Implementation,High School
50,Macomb ISD,50230,Warren Consolidated Schools,00814,Cousino Senior High School,No,Corrective Action,High School
50,Macomb ISD,50230,Warren Consolidated Schools,08397,Butcher Community Center,No,Corrective Action,High School
50,Macomb ISD,50240,Warren Woods Public Schools,07575,Warren Woods Enterprise H.S.,No,Identified for Restructuring - Planning,Alternative School
50,Macomb ISD,50902,Conner Creek Academy East,09089,Conner Creek Academy East-MI Collegiate High,Yes,Identified for Improvement - Year Two,High School
50,Macomb ISD,50904,Conner Creek Academy,09098,Conner Creek Academy - High,Yes,Identified for Improvement - Year Two,Middle/High School
51,Manistee ISD,51000,Manistee ISD,08937,Manistee ISD Center Programs,No,Identified for Improvement - Year One,Spec Ed Center
51,Manistee ISD,51903,Casman Alternative Academy,08477,Casman Alternative Academy,No,Identified for Restructuring - Planning,Alternative School
52,Marquette-Alger RESA,52170,Marquette Area Public Schools,02389,Marquette Senior High School,Yes,Identified for Improvement - Year Two,Middle/High School
52,Marquette-Alger RESA,52170,Marquette Area Public Schools,07755,Graveraet School,No,Identified for Improvement - Year Two,Alternative School
53,Mason-Lake ISD,53000,Mason-Lake ISD,08874,Mason-Lake ISD Special Education,No,Identified for Improvement - Year One,Spec Ed Center
53,Mason-Lake ISD,53040,Ludington Area School District,09424,Journey Junior/Senior High School,No,Corrective Action,Alternative School
54,Mecosta-Osceola ISD,54000,Mecosta-Osceola ISD,09039,Ashmun School @ Eagle Village,Yes,Identified for Improvement - Year One,Spec Ed Center
54,Mecosta-Osceola ISD,54010,Big Rapids Public Schools,07943,New Directions High School,Yes,Identified for Restructuring - Planning,Alternative School
54,Mecosta-Osceola ISD,54040,Morley Stanwood Community Schools,02613,Morley Stanwood High School,No,Identified for Restructuring - Planning,High School
55,Menominee ISD,55000,Menominee ISD,08944,Menominee ISD Special Education,No,Identified for Improvement - Year One,Spec Ed Center
55,Menominee ISD,55115,North Central Area Schools,09599,Phoenix Alternative High School,No,Identified for Improvement - Year Two,High School
56,Midland County Educational Service Agency,56901,Windover High School,04561,Windover High School,No,Identified for Restructuring - Implementation,Alternative School
56,Midland County Educational Service Agency,56903,Academic and Career Education Academy,09696,Academic and Career Education Academy,No,Identified for Improvement - Year Two,High School
58,Monroe ISD,58010,Monroe Public Schools,02842,Orchard Center High School,No,Corrective Action,Alternative School
58,Monroe ISD,58010,Monroe Public Schools,06503,Monroe High School,No,Identified for Restructuring - Implementation,High School
58,Monroe ISD,58050,Dundee Community Schools,08848,Riverside Academy,Yes,Identified for Improvement - Year Two,High School
58,Monroe ISD,58080,Jefferson Schools (Monroe),07834,Jefferson Alternative Education,-,Identified for Improvement - Year One,Alternative School
59,Montcalm Area ISD,59070,Greenville Public Schools,01498,Greenville Senior High School,No,Identified for Improvement - Year Two,High School
59,Montcalm Area ISD,59125,Central Montcalm Public Schools,00610,Central Montcalm High School,Yes,Identified for Improvement - Year Two,High School
61,Muskegon Area ISD,61010,Muskegon City School District,02652,Muskegon High School,Yes,Corrective Action,High School
61,Muskegon Area ISD,61010,Muskegon City School District,06247,MCEC,No,Identified for Restructuring - Planning,Middle/High School
61,Muskegon Area ISD,61020,Muskegon Heights School District,02651,Muskegon Heights High School,No,Identified for Restructuring - Implementation,High School
61,Muskegon Area ISD,61020,Muskegon Heights School District,07692,Muskegon Heights Adult/Comm. Ed.,-,Identified for Improvement - Year One,Alternative School
61,Muskegon Area ISD,61065,Oakridge Public Schools,02814,Oakridge High School,Yes,Identified for Improvement - Year Two,High School
61,Muskegon Area ISD,61120,Holton Public Schools,01713,Holton High School,Yes,Identified for Improvement - Year One,High School
61,Muskegon Area ISD,61190,Orchard View Schools,02847,Orchard View High School,No,Identified for Improvement - Year Two,High School
62,Newaygo County RESA ,62000,Newaygo County RESA ,08955,Fremont Education and Activity Center,No,Identified for Improvement - Year Two,K-12 School
62,Newaygo County RESA ,62040,Fremont Public School District,00576,Quest High School,No,Identified for Improvement - Year Two,Alternative School
62,Newaygo County RESA ,62060,Hesperia Community Schools,07917,Hesperia Community Education,No,Identified for Improvement - Year One,Alternative School
62,Newaygo County RESA ,62070,Newaygo Public School District,07919,Learning Center East,Yes,Corrective Action,Alternative School
63,Oakland Schools,63020,Ferndale Public Schools,01222,Ferndale High School,Yes,Identified for Restructuring - Planning,High School
63,Oakland Schools,63020,Ferndale Public Schools,07786,Ferndale Adult Education,No,Corrective Action,Alternative School
63,Oakland Schools,63030,Pontiac City School District,02206,Lincoln Middle School,Yes,Identified for Improvement - Year One,Elementary
63,Oakland Schools,63030,Pontiac City School District,02756,Pontiac High School,Yes,Identified for Restructuring - Planning,High School
63,Oakland Schools,63030,Pontiac City School District,08689,Kennedy Center,No,Identified for Improvement - Year One,K-12 School
63,Oakland Schools,63040,School District of the City of Royal Oak,02034,Royal Oak High School,No,Identified for Improvement - Year Two,High School
63,Oakland Schools,63040,School District of the City of Royal Oak,05932,Churchill Community Ed. Center,-,Identified for Improvement - Year Two,Alternative School
63,Oakland Schools,63050,Berkley School District,00291,Berkley High School,Yes,Identified for Improvement - Year Two,High School
63,Oakland Schools,63050,Berkley School District,02928,Tri County Educational Center,No,Identified for Improvement - Year Two,Alternative School
63,Oakland Schools,63060,Southfield Public School District,03542,Southfield High School,Yes,Identified for Restructuring - Planning,High School
63,Oakland Schools,63060,Southfield Public School District,05419,Southfield-Lathrup High School,Yes,Identified for Improvement - Year One,High School
63,Oakland Schools,63060,Southfield Public School District,08048,Southfield Regional Academic Campus,No,Identified for Restructuring - Implementation,High School
63,Oakland Schools,63070,Avondale School District,00161,Avondale Academy,No,Corrective Action,Alternative School
63,Oakland Schools,63070,Avondale School District,05976,Avondale High School,Yes,Identified for Improvement - Year One,High School
63,Oakland Schools,63080,Bloomfield Hills School District,05674,Bloomfield Hills Lahser H.S.,Yes,Identified for Improvement - Year One,High School
63,Oakland Schools,63130,Hazel Park City School District,01616,Hazel Park High School,Yes,Identified for Improvement - Year Two,High School
